Feature,Importance
latitude,3.595992456070083
longitude,6.022402986033454
bairro_group,2.489238803935798
bairro,5.562447244466761
room_type,22.632794701020735
minimo_noites,6.7592955300000055
numero_de_reviews,4.210939428192865
reviews_por_mes,3.863317394561649
calculado_host_listings_count,6.400754733717968
disponibilidade_365,13.921481445601437
dist_manhattan_center,5.548296375921984
preco_medio_bairro,9.534099998231353
min_nights_category,3.6329893201675043
ultima_review_ano,5.825949582078494
