Feature,Importance
latitude,3.30605065285209
longitude,5.735313966593148
bairro,6.146437318503717
room_type,22.134295351247957
minimo_noites,6.146357151309592
numero_de_reviews,4.439212869749181
reviews_por_mes,3.6988199983826964
calculado_host_listings_count,6.2141144782030056
disponibilidade_365,13.662287971140296
dist_manhattan_center,5.332503886149099
dist_jfk_airport,3.5973530905790665
preco_medio_bairro,9.658431145590777
min_nights_category,4.104548626211452
ultima_review_ano,5.824273493487944
