Feature,Importance
latitude,3.163998429853874
longitude,5.241071145169028
bairro_group,2.4813501422710034
bairro,2.799307300009729
room_type,25.635197402664247
minimo_noites,6.0397729514420515
numero_de_reviews,4.029485060983556
reviews_por_mes,3.6461722859914345
calculado_host_listings_count,5.785742242907113
disponibilidade_365,13.438921044316919
dist_manhattan,5.201500465836917
preco_medio_bairro,7.797423633983987
Entire home/apt,1.8737618120754802
Private room,1.7402236488424605
Shared room,2.066591017926437
min_nights_category,3.8309199268820255
ultima_review_ano,5.228561488843807
