Feature,Importance
latitude,15.946468675818737
longitude,16.193389747985808
minimo_noites,16.03782376282913
numero_de_reviews,8.463679610595262
calculado_host_listings_count,10.637773365452466
disponibilidade_365,16.808581499630932
bairro_group_Bronx,0.027998178643844632
bairro_group_Brooklyn,0.9633159355935242
bairro_group_Manhattan,2.1202750572973224
bairro_group_Queens,0.3998388153971605
bairro_group_Staten Island,0.06606200957532343
room_type_Entire home/apt,8.853853737834706
room_type_Private room,3.1135071751048247
room_type_Shared room,0.3674324282409446
