Feature,Importance
latitude,1.1257530069929271
dist_wall_street,1.6873108277235318
dist_coney_island_beach,1.6875485612042491
dist_statue_of_liberty,1.76162834799081
dist_central_park,2.3733585628544684
dist_la_guardia_airport,2.4267101558048263
longitude,2.8782488275203417
dist_jfk_airport,3.189377113823895
dist_manhattan_center,3.2061480110709
dist_ubs_arena,3.4263356050576657
min_nights_category,3.5867426794528883
tempo_desde_ultimo_review,3.635448586393021
reviews_por_mes,3.7647553478382774
numero_de_reviews,4.000484083157945
nome_sentiment,4.495732811447432
trimestre_review,4.63378169348919
bairro,4.68866501340659
calculado_host_listings_count,5.107387999616894
preco_medio_bairro,5.414304838777082
minimo_noites,6.256569806223987
disponibilidade_365,12.112202770142986
room_type,18.541505350010173
