Feature,Importance
dist_coney_island_beach,1.0671749209270935
latitude,1.1857784843099057
dist_statue_of_liberty,1.7223305254199635
dist_la_guardia_airport,1.886762150801031
dist_central_park,1.9153558672000426
dist_ubs_arena,2.1001781742719237
dist_jfk_airport,2.1025040768416505
dist_wall_street,2.3578806156815646
longitude,2.6966443379081215
reviews_por_mes,3.14902619470168
tempo_desde_ultimo_review,3.305300889427836
trimestre_review,3.4363922156389144
numero_de_reviews,3.4380866105291688
nome_sentiment,3.4913007392392252
min_nights_category,3.6311282222120194
dist_manhattan_center,4.201033022654196
bairro,4.284481534248821
minimo_noites,4.92994028031468
calculado_host_listings_count,5.0623960343541174
preco_medio_bairro,7.439360957958309
disponibilidade_365,12.198112912393876
room_type,24.398831232966
