Feature,Importance
dist_ubs_arena,2.643846077941656
dist_jfk_airport,2.7512460833088666
dist_central_park,2.873861904386296
reviews_por_mes,2.897446127518418
longitude,3.217605563692592
tempo_desde_ultimo_review,3.3798748208001688
dist_wall_street,3.4959698246162616
nome_sentiment,3.5489703450879158
numero_de_reviews,3.6249088550273325
min_nights_category,3.7620330335716403
trimestre_review,3.8920003089341377
dist_manhattan_center,4.171295539162807
bairro,4.938658965268042
minimo_noites,5.0082035090869255
calculado_host_listings_count,5.068368018256103
preco_medio_bairro,8.33231101999576
disponibilidade_365,12.219247422351403
room_type,24.1741525809938
