Feature,Importance
latitude,1.086970006733706
longitude,2.459955258205586
bairro,5.248478763948684
room_type,22.8451189842933
minimo_noites,5.625596253670089
numero_de_reviews,4.123864231839448
reviews_por_mes,3.3908811377878094
calculado_host_listings_count,5.746569462236024
disponibilidade_365,13.582452362300897
dist_manhattan_center,3.4190520709216834
dist_central_park,1.7529684196116295
dist_wall_street,2.0768249954118287
dist_statue_of_liberty,1.7268007665624903
dist_jfk_airport,2.130714891356414
dist_la_guardia_airport,1.7745428426655037
dist_yankee_stadium,0.9373819409022678
dist_staten_island_greenbelt,1.009389007362615
dist_ubs_arena,2.4659996144159804
dist_coney_island_beach,0.9860383829808298
dist_bronx_zoo,0.8903523752187246
preco_medio_bairro,7.406053773583686
min_nights_category,3.889096990681223
ultima_review_ano,5.424897467309663
