Feature,Importance
latitude,2.7727714207734118
longitude,5.019453073378104
bairro_group,2.2585391884626986
bairro,2.945951364796579
room_type,24.394578149386028
minimo_noites,5.77618749997332
numero_de_reviews,3.8819494093014715
reviews_por_mes,3.762090594030626
calculado_host_listings_count,5.711195487697751
disponibilidade_365,12.948619723466644
location_cluster,1.9603910290205264
dist_manhattan,5.1849898705588995
h3_numeric,0.0
preco_medio_bairro,8.764232267443164
Entire home/apt,1.9994997095170959
Private room,1.6415611581875689
Shared room,1.8699288498092996
min_nights_category,3.9417204683697236
ultima_review_ano,5.166340735827195
