Feature,Importance
latitude,2.051321458626339
longitude,4.599118126871387
bairro,5.618446319964671
room_type,23.44275749131779
minimo_noites,5.727178366455529
numero_de_reviews,4.094698311576359
reviews_por_mes,3.65421619251117
calculado_host_listings_count,6.043945187929958
disponibilidade_365,13.345163584110937
dist_manhattan_center,4.579525554297709
dist_wall_street,3.906260498164139
dist_jfk_airport,3.168993814874567
dist_yankee_stadium,2.0572122349876865
preco_medio_bairro,8.364395401283579
min_nights_category,3.8599211219295064
ultima_review_ano,5.4868463350986305
